project,version,file,has_provenance,publisher
google-crc32c,1.8.0,google_crc32c-1.8.0-cp310-cp310-macosx_12_0_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp310-cp310-manylinux1_x86_64.manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_5_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp310-cp310-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp310-cp310-win_amd64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp311-cp311-macosx_12_0_arm64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp311-cp311-macosx_12_0_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp311-cp311-manylinux1_x86_64.manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_5_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp311-cp311-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp311-cp311-win_amd64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp312-cp312-macosx_12_0_arm64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp312-cp312-macosx_12_0_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp312-cp312-manylinux1_x86_64.manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_5_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp312-cp312-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp312-cp312-win_amd64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp313-cp313-macosx_12_0_arm64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp313-cp313-macosx_12_0_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp313-cp313-manylinux1_x86_64.manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_5_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp313-cp313-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp313-cp313-win_amd64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp314-cp314-macosx_12_0_arm64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp314-cp314-macosx_12_0_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp314-cp314-manylinux1_x86_64.manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_5_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp314-cp314-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp314-cp314-win_amd64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp39-cp39-macosx_12_0_arm64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp39-cp39-macosx_12_0_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp39-cp39-manylinux1_x86_64.manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_5_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp39-cp39-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-cp39-cp39-win_amd64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-pp311-pypy311_pp73-manylinux1_x86_64.manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_5_x86_64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0-pp311-pypy311_pp73-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,False,
google-crc32c,1.8.0,google_crc32c-1.8.0.tar.gz,False,
toml,0.10.2,toml-0.10.2-py2.py3-none-any.whl,False,
toml,0.10.2,toml-0.10.2.tar.gz,False,
threadpoolctl,3.6.0,threadpoolctl-3.6.0-py3-none-any.whl,True,GitHub
threadpoolctl,3.6.0,threadpoolctl-3.6.0.tar.gz,True,GitHub
google-auth-oauthlib,1.4.0,google_auth_oauthlib-1.4.0-py3-none-any.whl,True,Google
google-auth-oauthlib,1.4.0,google_auth_oauthlib-1.4.0.tar.gz,True,Google
cloudflare,5.2.0,cloudflare-5.2.0-py3-none-any.whl,False,
cloudflare,5.2.0,cloudflare-5.2.0.tar.gz,False,
ruamel-yaml,0.19.1,ruamel_yaml-0.19.1-py3-none-any.whl,False,
ruamel-yaml,0.19.1,ruamel_yaml-0.19.1.tar.gz,False,
cycler,0.12.1,cycler-0.12.1-py3-none-any.whl,False,
cycler,0.12.1,cycler-0.12.1.tar.gz,False,
py,1.11.0,py-1.11.0-py2.py3-none-any.whl,False,
py,1.11.0,py-1.11.0.tar.gz,False,
alembic,1.18.4,alembic-1.18.4-py3-none-any.whl,False,
alembic,1.18.4,alembic-1.18.4.tar.gz,False,
acme,5.6.0,acme-5.6.0-py3-none-any.whl,False,
acme,5.6.0,acme-5.6.0.tar.gz,False,
sqlparse,0.5.5,sqlparse-0.5.5-py3-none-any.whl,False,
sqlparse,0.5.5,sqlparse-0.5.5.tar.gz,False,
certbot-dns-cloudflare,5.6.0,certbot_dns_cloudflare-5.6.0-py3-none-any.whl,False,
certbot-dns-cloudflare,5.6.0,certbot_dns_cloudflare-5.6.0.tar.gz,False,
uritemplate,4.2.0,uritemplate-4.2.0-py3-none-any.whl,True,GitHub
uritemplate,4.2.0,uritemplate-4.2.0.tar.gz,True,GitHub
tzlocal,5.3.1,tzlocal-5.3.1-py3-none-any.whl,False,
tzlocal,5.3.1,tzlocal-5.3.1.tar.gz,False,
defusedxml,0.8.0rc2,defusedxml-0.8.0rc2-py2.py3-none-any.whl,False,
defusedxml,0.8.0rc2,defusedxml-0.8.0rc2.tar.gz,False,
secretstorage,3.5.0,secretstorage-3.5.0-py3-none-any.whl,True,GitHub
secretstorage,3.5.0,secretstorage-3.5.0.tar.gz,True,GitHub
jeepney,0.9.0,jeepney-0.9.0-py3-none-any.whl,True,GitLab
jeepney,0.9.0,jeepney-0.9.0.tar.gz,True,GitLab
pytest-cov,7.1.0,pytest_cov-7.1.0-py3-none-any.whl,False,
pytest-cov,7.1.0,pytest_cov-7.1.0.tar.gz,False,
py4j,0.10.9.9,py4j-0.10.9.9-py2.py3-none-any.whl,False,
py4j,0.10.9.9,py4j-0.10.9.9.tar.gz,False,
future,1.0.0,future-1.0.0-py3-none-any.whl,False,
future,1.0.0,future-1.0.0.tar.gz,False,
opentelemetry-proto,1.42.1,opentelemetry_proto-1.42.1-py3-none-any.whl,False,
opentelemetry-proto,1.42.1,opentelemetry_proto-1.42.1.tar.gz,False,
ipython,9.13.0,ipython-9.13.0-py3-none-any.whl,True,GitHub
ipython,9.13.0,ipython-9.13.0.tar.gz,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-macosx_10_9_universal2.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-macosx_10_9_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-manylinux2014_aarch64.manylinux_2_17_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-musllinux_1_2_aarch64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-musllinux_1_2_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-win32.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp310-cp310-win_amd64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-macosx_10_9_universal2.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-macosx_10_9_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-manylinux2014_aarch64.manylinux_2_17_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,True,GitHub
fonttools,4.63.0,fonttools-4.63.0-cp311-cp311-musllinux_1_2_aarch64.whl,True,GitHub
